id,cod_depto,departamento,cod_mun,municipio,ce_menores_de_5_años,ce_mayores_de_5_años,mujeres_con_4ta_consulta_ prenatal,bcg,pentavalente_3ra_dosis,antipolio_3ra_dosis,antirotavirus_2ra_dosis,antiamarilica,vaginales,cesareas,partos_atendidos_por_proveedor_calificado,partos_atendidos_por_personal_de_salud_calificado,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud
1,1,CHUQUISACA,10101,SUCRE                         ,159790,634511,8791,7429,6914,6911,6736,6682,4198,3196,2,88,7392,32,14,70
2,1,CHUQUISACA,10102,YOTALA                        ,3179,9946,133,126,137,137,151,135,85,11,2,2,97,4,0,0
3,1,CHUQUISACA,10103,POROMA                        ,9898,15883,233,277,295,295,289,242,127,0,68,56,124,120,0,3
4,1,CHUQUISACA,10201,AZURDUY                       ,8823,11680,190,185,207,207,198,194,100,0,38,53,98,85,0,1
5,1,CHUQUISACA,10202,TARVITA                       ,12160,21389,219,204,249,249,224,252,156,3,28,22,158,44,0,1
6,1,CHUQUISACA,10301,ZUDAÑEZ                       ,4565,10685,140,104,144,144,141,114,76,0,12,10,75,20,0,1
7,1,CHUQUISACA,10302,PRESTO                        ,4907,11653,128,121,171,171,148,173,47,0,30,42,47,68,1,0
8,1,CHUQUISACA,10303,MOJOCOYA                      ,2970,9689,112,102,135,135,117,119,81,0,15,6,81,18,0,0
9,1,CHUQUISACA,10304,ICLA                          ,6747,11594,126,121,142,142,133,133,74,0,20,22,74,40,1,0
10,1,CHUQUISACA,10401,PADILLA                       ,6360,29929,190,236,151,151,147,153,163,88,7,5,248,11,1,6
11,1,CHUQUISACA,10402,TOMINA                        ,6432,15485,162,134,181,181,166,154,122,0,7,5,121,9,0,0
12,1,CHUQUISACA,10403,SOPACHUY                      ,5525,13221,143,123,131,128,126,114,99,3,9,8,102,15,0,0
13,1,CHUQUISACA,10404,ALCALA                        ,2174,6798,50,45,68,68,58,58,33,0,1,0,33,1,0,0
14,1,CHUQUISACA,10405,EL VILLAR                     ,2313,10751,52,50,80,80,72,72,44,0,0,3,44,3,0,0
15,1,CHUQUISACA,10501,MONTEAGUDO                    ,16437,62451,725,566,478,483,474,477,350,212,3,9,549,10,2,9
16,1,CHUQUISACA,10502,HUACARETA                     ,5154,14669,192,123,199,199,182,187,112,0,3,8,112,10,0,1
17,1,CHUQUISACA,10601,TARABUCO                      ,7182,18355,279,274,328,329,277,245,143,43,14,66,184,73,1,2
18,1,CHUQUISACA,10602,YAMPARAEZ                     ,2610,9804,107,83,129,129,105,119,64,0,6,3,64,9,0,0
19,1,CHUQUISACA,10701,CAMARGO                       ,7288,24693,340,348,280,280,273,285,226,91,7,17,314,24,2,6
20,1,CHUQUISACA,10702,SAN LUCAS                     ,16237,36542,641,572,608,608,597,495,367,20,38,181,381,219,9,7
21,1,CHUQUISACA,10703,INCAHUASI                     ,8623,9323,234,205,261,261,250,175,97,0,51,68,96,119,0,2
22,1,CHUQUISACA,10704,VILLA CHARCAS                 ,7559,12587,265,221,298,298,261,309,145,0,28,45,146,72,0,0
23,1,CHUQUISACA,10801,VILLA SERRANO                 ,8012,13966,143,107,203,203,162,174,80,0,5,12,74,14,0,3
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA)   ,1129,5120,44,33,45,45,49,45,18,0,4,6,17,10,1,1
25,1,CHUQUISACA,10902,CULPINA                       ,8649,18162,358,347,438,438,371,302,243,26,14,60,264,74,0,5
26,1,CHUQUISACA,10903,LAS CARRERAS                  ,1763,5700,64,60,90,90,69,59,53,0,0,6,53,6,0,0
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA) ,5302,17754,158,143,207,209,203,175,96,0,2,40,96,41,0,0
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA)    ,2764,6054,42,47,72,72,67,57,24,0,0,20,24,21,2,0
